_id,,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
{'$oid': '65ec3b91dfac9a2248e12b61'},55,Albania,Maize,2002,39460,1485,691.75,16.47
{'$oid': '65ec3b91dfac9a2248e12b62'},56,Albania,Potatoes,2002,153868,1485,691.75,16.47
{'$oid': '65ec3b91dfac9a2248e12b63'},57,Albania,Soybeans,2002,20000,1485,691.75,16.47
{'$oid': '65ec3b91dfac9a2248e12b64'},58,Albania,Wheat,2002,31617,1485,691.75,16.47
{'$oid': '65ec3b91dfac9a2248e12b65'},59,Albania,Maize,2004,46197,1485,817.68,16.16
{'$oid': '65ec3b91dfac9a2248e12b66'},60,Albania,Potatoes,2004,149346,1485,817.68,16.16
{'$oid': '65ec3b91dfac9a2248e12b67'},61,Albania,Soybeans,2004,13333,1485,817.68,16.16
{'$oid': '65ec3b91dfac9a2248e12b68'},62,Albania,Wheat,2004,31130,1485,817.68,16.16
{'$oid': '65ec3b91dfac9a2248e12b69'},63,Albania,Maize,2005,45442,1485,880.64,15.67
{'$oid': '65ec3b91dfac9a2248e12b6a'},64,Albania,Potatoes,2005,167061,1485,880.64,15.67
{'$oid': '65ec3b91dfac9a2248e12b6b'},65,Albania,Soybeans,2005,17500,1485,880.64,15.67
{'$oid': '65ec3b91dfac9a2248e12b6c'},66,Albania,Wheat,2005,31582,1485,880.64,15.67
{'$oid': '65ec3b91dfac9a2248e12b6d'},67,Albania,Maize,2006,50111,1485,943.61,15.92
{'$oid': '65ec3b91dfac9a2248e12b6e'},68,Albania,Potatoes,2006,170745,1485,943.61,15.92
{'$oid': '65ec3b91dfac9a2248e12b6f'},69,Albania,Soybeans,2006,20000,1485,943.61,15.92
{'$oid': '65ec3b91dfac9a2248e12b70'},70,Albania,Wheat,2006,30787,1485,943.61,15.92
{'$oid': '65ec3b91dfac9a2248e12b71'},71,Albania,Maize,2007,46732,1485,1006.57,16.67
{'$oid': '65ec3b91dfac9a2248e12b72'},72,Albania,Potatoes,2007,188902,1485,1006.57,16.67
{'$oid': '65ec3b91dfac9a2248e12b73'},73,Albania,Soybeans,2007,20000,1485,1006.57,16.67
{'$oid': '65ec3b91dfac9a2248e12b74'},74,Albania,Wheat,2007,35496,1485,1006.57,16.67
{'$oid': '65ec3b91dfac9a2248e12b75'},75,Albania,Maize,2008,50000,1485,1069.54,16.71
{'$oid': '65ec3b91dfac9a2248e12b76'},76,Albania,Potatoes,2008,193878,1485,1069.54,16.71
{'$oid': '65ec3b91dfac9a2248e12b77'},77,Albania,Soybeans,2008,20000,1485,1069.54,16.71
{'$oid': '65ec3b91dfac9a2248e12b78'},78,Albania,Wheat,2008,40168,1485,1069.54,16.71
{'$oid': '65ec3b91dfac9a2248e12b79'},79,Albania,Maize,2009,55693,1485,1132.5,16.73
{'$oid': '65ec3b91dfac9a2248e12b7a'},80,Albania,Potatoes,2009,219780,1485,1132.5,16.73
{'$oid': '65ec3b91dfac9a2248e12b7b'},81,Albania,Soybeans,2009,16667,1485,1132.5,16.73
{'$oid': '65ec3b91dfac9a2248e12b7c'},82,Albania,Wheat,2009,40229,1485,1132.5,16.73
{'$oid': '65ec3b91dfac9a2248e12b7d'},83,Albania,Maize,2010,66790,1485,1311.17,16.52
{'$oid': '65ec3b91dfac9a2248e12b7e'},84,Albania,Potatoes,2010,231111,1485,1311.17,16.52
{'$oid': '65ec3b91dfac9a2248e12b7f'},85,Albania,Soybeans,2010,16667,1485,1311.17,16.52
{'$oid': '65ec3b91dfac9a2248e12b80'},86,Albania,Wheat,2010,39905,1485,1311.17,16.52
{'$oid': '65ec3b91dfac9a2248e12b81'},87,Albania,Maize,2011,59869,1485,1302.63,16.45
{'$oid': '65ec3b91dfac9a2248e12b82'},88,Albania,Potatoes,2011,242211,1485,1302.63,16.45
{'$oid': '65ec3b91dfac9a2248e12b83'},89,Albania,Soybeans,2011,18519,1485,1302.63,16.45
{'$oid': '65ec3b91dfac9a2248e12b84'},90,Albania,Wheat,2011,42301,1485,1302.63,16.45
{'$oid': '65ec3b91dfac9a2248e12b85'},91,Albania,Maize,2012,67290,1485,766.25,16.7
{'$oid': '65ec3b91dfac9a2248e12b86'},92,Albania,Potatoes,2012,250538,1485,766.25,16.7
{'$oid': '65ec3b91dfac9a2248e12b87'},93,Albania,Soybeans,2012,13333,1485,766.25,16.7
{'$oid': '65ec3b91dfac9a2248e12b88'},94,Albania,Wheat,2012,41096,1485,766.25,16.7
{'$oid': '65ec3b91dfac9a2248e12b89'},95,Albania,Maize,2013,69533,1485,982.32,17.41
{'$oid': '65ec3b91dfac9a2248e12b8a'},96,Albania,Potatoes,2013,260110,1485,982.32,17.41
{'$oid': '65ec3b91dfac9a2248e12b8b'},97,Albania,Soybeans,2013,10000,1485,982.32,17.41
{'$oid': '65ec3b91dfac9a2248e12b8c'},98,Albania,Wheat,2013,41292,1485,982.32,17.41
{'$oid': '65ec3b91dfac9a2248e12b8d'},99,Algeria,Maize,1990,16500,89,1828.92,17.48
{'$oid': '65ec3b91dfac9a2248e12b8e'},100,Algeria,Potatoes,1990,78936,89,1828.92,17.48
{'$oid': '65ec3b91dfac9a2248e12b8f'},101,Algeria,"Rice, paddy",1990,28000,89,1828.92,17.48
{'$oid': '65ec3b91dfac9a2248e12b90'},102,Algeria,Sorghum,1990,16571,89,1828.92,17.48
{'$oid': '65ec3b91dfac9a2248e12b91'},103,Algeria,Wheat,1990,6315,89,1828.92,17.48
{'$oid': '65ec3b91dfac9a2248e12b92'},104,Algeria,Maize,1991,19231,89,2461.8,16.26
{'$oid': '65ec3b91dfac9a2248e12b93'},105,Algeria,Potatoes,1991,90747,89,2461.8,16.26
{'$oid': '65ec3b91dfac9a2248e12b94'},106,Algeria,"Rice, paddy",1991,26786,89,2461.8,16.26
{'$oid': '65ec3b91dfac9a2248e12b95'},107,Algeria,Sorghum,1991,24231,89,2461.8,16.26
{'$oid': '65ec3b91dfac9a2248e12b96'},108,Algeria,Wheat,1991,10809,89,2461.8,16.26
{'$oid': '65ec3b91dfac9a2248e12b97'},109,Algeria,Maize,1992,22828,89,1215.47,16.27
{'$oid': '65ec3b91dfac9a2248e12b98'},110,Algeria,Potatoes,1992,107917,89,1215.47,16.27
{'$oid': '65ec3b91dfac9a2248e12b99'},111,Algeria,"Rice, paddy",1992,24733,89,1215.47,16.27
{'$oid': '65ec3b91dfac9a2248e12b9a'},112,Algeria,Sorghum,1992,40000,89,1215.47,16.27
{'$oid': '65ec3b91dfac9a2248e12b9b'},113,Algeria,Wheat,1992,9939,89,1215.47,16.27
{'$oid': '65ec3b91dfac9a2248e12b9c'},114,Algeria,Maize,1993,12500,89,1021.89,17.0
{'$oid': '65ec3b91dfac9a2248e12b9d'},115,Algeria,Potatoes,1993,111215,89,1021.89,17.0
{'$oid': '65ec3b91dfac9a2248e12b9e'},116,Algeria,"Rice, paddy",1993,23111,89,1021.89,17.0
{'$oid': '65ec3b91dfac9a2248e12b9f'},117,Algeria,Sorghum,1993,50000,89,1021.89,17.0
{'$oid': '65ec3b91dfac9a2248e12ba0'},118,Algeria,Wheat,1993,8097,89,1021.89,17.0
{'$oid': '65ec3b91dfac9a2248e12ba1'},119,Algeria,Maize,1994,4512,89,1255.02,17.88
{'$oid': '65ec3b91dfac9a2248e12ba2'},120,Algeria,Potatoes,1994,95078,89,1255.02,17.88
{'$oid': '65ec3b91dfac9a2248e12ba3'},121,Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88
{'$oid': '65ec3b91dfac9a2248e12ba4'},122,Algeria,Wheat,1994,7999,89,1255.02,17.88
{'$oid': '65ec3b91dfac9a2248e12ba5'},123,Algeria,Maize,1995,16115,89,2697.09,17.36
{'$oid': '65ec3b91dfac9a2248e12ba6'},124,Algeria,Potatoes,1995,136768,89,2697.09,17.36
{'$oid': '65ec3b91dfac9a2248e12ba7'},125,Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36
{'$oid': '65ec3b91dfac9a2248e12ba8'},126,Algeria,Sorghum,1995,12667,89,2697.09,17.36
{'$oid': '65ec3b91dfac9a2248e12ba9'},127,Algeria,Wheat,1995,8924,89,2697.09,17.36
{'$oid': '65ec3b91dfac9a2248e12baa'},128,Algeria,Maize,1996,17154,89,479.77,16.76
{'$oid': '65ec3b91dfac9a2248e12bab'},129,Algeria,Potatoes,1996,134629,89,479.77,16.76
{'$oid': '65ec3b91dfac9a2248e12bac'},130,Algeria,"Rice, paddy",1996,17861,89,479.77,16.76
{'$oid': '65ec3b91dfac9a2248e12bad'},131,Algeria,Sorghum,1996,14750,89,479.77,16.76
{'$oid': '65ec3b91dfac9a2248e12bae'},132,Algeria,Wheat,1996,13090,89,479.77,16.76
{'$oid': '65ec3b91dfac9a2248e12baf'},133,Algeria,Maize,1997,21417,89,401.22,17.84
{'$oid': '65ec3b91dfac9a2248e12bb0'},134,Algeria,Potatoes,1997,141042,89,401.22,17.84
{'$oid': '65ec3b91dfac9a2248e12bb1'},135,Algeria,"Rice, paddy",1997,15000,89,401.22,17.84
{'$oid': '65ec3b91dfac9a2248e12bb2'},136,Algeria,Sorghum,1997,40000,89,401.22,17.84
{'$oid': '65ec3b91dfac9a2248e12bb3'},137,Algeria,Wheat,1997,8016,89,401.22,17.84
{'$oid': '65ec3b91dfac9a2248e12bb4'},138,Algeria,Maize,1998,17222,89,322.84,17.14
{'$oid': '65ec3b91dfac9a2248e12bb5'},139,Algeria,Potatoes,1998,160256,89,322.84,17.14
{'$oid': '65ec3b91dfac9a2248e12bb6'},140,Algeria,"Rice, paddy",1998,15000,89,322.84,17.14
{'$oid': '65ec3b91dfac9a2248e12bb7'},141,Algeria,Sorghum,1998,24500,89,322.84,17.14
{'$oid': '65ec3b91dfac9a2248e12bb8'},142,Algeria,Wheat,1998,8847,89,322.84,17.14
{'$oid': '65ec3b91dfac9a2248e12bb9'},143,Algeria,Maize,1999,22375,89,654.45,17.97
{'$oid': '65ec3b91dfac9a2248e12bba'},144,Algeria,Potatoes,1999,153532,89,654.45,17.97
{'$oid': '65ec3b91dfac9a2248e12bbb'},145,Algeria,"Rice, paddy",1999,13942,89,654.45,17.97
{'$oid': '65ec3b91dfac9a2248e12bbc'},146,Algeria,Sorghum,1999,27000,89,654.45,17.97
{'$oid': '65ec3b91dfac9a2248e12bbd'},147,Algeria,Wheat,1999,10711,89,654.45,17.97
{'$oid': '65ec3b91dfac9a2248e12bbe'},148,Algeria,Maize,2000,36186,89,603.67,17.9
{'$oid': '65ec3b91dfac9a2248e12bbf'},149,Algeria,Potatoes,2000,166143,89,603.67,17.9
{'$oid': '65ec3b91dfac9a2248e12bc0'},150,Algeria,"Rice, paddy",2000,13052,89,603.67,17.9
{'$oid': '65ec3b91dfac9a2248e12bc1'},151,Algeria,Sorghum,2000,69500,89,603.67,17.9
{'$oid': '65ec3b91dfac9a2248e12bc2'},152,Algeria,Wheat,2000,9194,89,603.67,17.9
{'$oid': '65ec3b91dfac9a2248e12bc3'},153,Algeria,Maize,2001,27175,89,710.11,18.13
{'$oid': '65ec3b91dfac9a2248e12bc4'},154,Algeria,Potatoes,2001,147018,89,710.11,18.13
{'$oid': '65ec3b91dfac9a2248e12bc5'},155,Algeria,"Rice, paddy",2001,12314,89,710.11,18.13
{'$oid': '65ec3b91dfac9a2248e12bc6'},156,Algeria,Sorghum,2001,27750,89,710.11,18.13
{'$oid': '65ec3b91dfac9a2248e12bc7'},157,Algeria,Wheat,2001,11104,89,710.11,18.13
{'$oid': '65ec3b91dfac9a2248e12bc8'},158,Algeria,Maize,2002,33480,89,816.55,17.85
{'$oid': '65ec3b91dfac9a2248e12bc9'},159,Algeria,Potatoes,2002,183774,89,816.55,17.85
{'$oid': '65ec3b91dfac9a2248e12bca'},160,Algeria,"Rice, paddy",2002,12959,89,816.55,17.85
{'$oid': '65ec3b91dfac9a2248e12bcb'},161,Algeria,Sorghum,2002,33900,89,816.55,17.85
{'$oid': '65ec3b91dfac9a2248e12bcc'},162,Algeria,Wheat,2002,10739,89,816.55,17.85
{'$oid': '65ec3b91dfac9a2248e12bcd'},163,Algeria,Maize,2004,31729,89,3747.86,17.38
{'$oid': '65ec3b91dfac9a2248e12bce'},164,Algeria,Potatoes,2004,203585,89,3747.86,17.38
{'$oid': '65ec3b91dfac9a2248e12bcf'},165,Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38
{'$oid': '65ec3b91dfac9a2248e12bd0'},166,Algeria,Sorghum,2004,43316,89,3747.86,17.38
{'$oid': '65ec3b91dfac9a2248e12bd1'},167,Algeria,Wheat,2004,13582,89,3747.86,17.38
{'$oid': '65ec3b91dfac9a2248e12bd2'},168,Algeria,Maize,2005,33864,89,3662.87,17.19
{'$oid': '65ec3b91dfac9a2248e12bd3'},169,Algeria,Potatoes,2005,216267,89,3662.87,17.19
{'$oid': '65ec3b91dfac9a2248e12bd4'},170,Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19
{'$oid': '65ec3b91dfac9a2248e12bd5'},171,Algeria,Sorghum,2005,33486,89,3662.87,17.19
{'$oid': '65ec3b91dfac9a2248e12bd6'},172,Algeria,Wheat,2005,15057,89,3662.87,17.19
{'$oid': '65ec3b91dfac9a2248e12bd7'},173,Algeria,Maize,2006,65668,89,4110.72,18.13
{'$oid': '65ec3b91dfac9a2248e12bd8'},174,Algeria,Potatoes,2006,220689,89,4110.72,18.13
{'$oid': '65ec3b91dfac9a2248e12bd9'},175,Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13
{'$oid': '65ec3b91dfac9a2248e12bda'},176,Algeria,Sorghum,2006,56728,89,4110.72,18.13
{'$oid': '65ec3b91dfac9a2248e12bdb'},177,Algeria,Wheat,2006,15068,89,4110.72,18.13
{'$oid': '65ec3b91dfac9a2248e12bdc'},178,Algeria,Maize,2007,85625,89,5390.79,17.42
{'$oid': '65ec3b91dfac9a2248e12bdd'},179,Algeria,Potatoes,2007,189927,89,5390.79,17.42
{'$oid': '65ec3b91dfac9a2248e12bde'},180,Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42
{'$oid': '65ec3b91dfac9a2248e12bdf'},181,Algeria,Sorghum,2007,119059,89,5390.79,17.42
{'$oid': '65ec3b91dfac9a2248e12be0'},182,Algeria,Wheat,2007,12742,89,5390.79,17.42
{'$oid': '65ec3b91dfac9a2248e12be1'},183,Algeria,Maize,2008,44714,89,11556.12,17.55
{'$oid': '65ec3b91dfac9a2248e12be2'},184,Algeria,Potatoes,2008,236393,89,11556.12,17.55
{'$oid': '65ec3b91dfac9a2248e12be3'},185,Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55
{'$oid': '65ec3b91dfac9a2248e12be4'},186,Algeria,Sorghum,2008,61786,89,11556.12,17.55
{'$oid': '65ec3b91dfac9a2248e12be5'},187,Algeria,Wheat,2008,11038,89,11556.12,17.55
{'$oid': '65ec3b91dfac9a2248e12be6'},188,Algeria,Maize,2009,30914,89,3867.99,17.78
{'$oid': '65ec3b91dfac9a2248e12be7'},189,Algeria,Potatoes,2009,250764,89,3867.99,17.78
{'$oid': '65ec3b91dfac9a2248e12be8'},190,Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78
{'$oid': '65ec3b91dfac9a2248e12be9'},191,Algeria,Sorghum,2009,90465,89,3867.99,17.78
{'$oid': '65ec3b91dfac9a2248e12bea'},192,Algeria,Wheat,2009,15975,89,3867.99,17.78
{'$oid': '65ec3b91dfac9a2248e12beb'},193,Algeria,Maize,2010,25827,89,1295.88,17.59
{'$oid': '65ec3b91dfac9a2248e12bec'},194,Algeria,Potatoes,2010,270526,89,1295.88,17.59
{'$oid': '65ec3b91dfac9a2248e12bed'},195,Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59
{'$oid': '65ec3b91dfac9a2248e12bee'},196,Algeria,Sorghum,2010,30286,89,1295.88,17.59
{'$oid': '65ec3b91dfac9a2248e12bef'},197,Algeria,Wheat,2010,14838,89,1295.88,17.59
{'$oid': '65ec3b91dfac9a2248e12bf0'},198,Algeria,Maize,2011,23374,89,13861.76,17.79
{'$oid': '65ec3b91dfac9a2248e12bf1'},199,Algeria,Potatoes,2011,292806,89,13861.76,17.79
{'$oid': '65ec3b91dfac9a2248e12bf2'},200,Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79
{'$oid': '65ec3b91dfac9a2248e12bf3'},201,Algeria,Sorghum,2011,100000,89,13861.76,17.79
{'$oid': '65ec3b91dfac9a2248e12bf4'},202,Algeria,Wheat,2011,17405,89,13861.76,17.79
{'$oid': '65ec3b91dfac9a2248e12bf5'},203,Algeria,Maize,2012,25583,89,17379.76,17.91
{'$oid': '65ec3b91dfac9a2248e12bf6'},204,Algeria,Potatoes,2012,304291,89,17379.76,17.91
{'$oid': '65ec3b91dfac9a2248e12bf7'},205,Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91
{'$oid': '65ec3b91dfac9a2248e12bf8'},206,Algeria,Sorghum,2012,206000,89,17379.76,17.91
{'$oid': '65ec3b91dfac9a2248e12bf9'},207,Algeria,Wheat,2012,17639,89,17379.76,17.91
{'$oid': '65ec3b91dfac9a2248e12bfa'},208,Algeria,Maize,2013,33649,89,17278.65,17.65
{'$oid': '65ec3b91dfac9a2248e12bfb'},209,Algeria,Potatoes,2013,303218,89,17278.65,17.65
{'$oid': '65ec3b91dfac9a2248e12bfc'},210,Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65
{'$oid': '65ec3b91dfac9a2248e12bfd'},211,Algeria,Sorghum,2013,60000,89,17278.65,17.65
{'$oid': '65ec3b91dfac9a2248e12bfe'},212,Algeria,Wheat,2013,19100,89,17278.65,17.65
{'$oid': '65ec3b91dfac9a2248e12bff'},213,Angola,Cassava,1990,41177,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c00'},214,Angola,Maize,1990,2736,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c01'},215,Angola,Potatoes,1990,40000,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c02'},216,Angola,"Rice, paddy",1990,9512,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c03'},217,Angola,Sweet potatoes,1990,89342,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c04'},218,Angola,Wheat,1990,7995,1010,64.0,24.12
{'$oid': '65ec3b91dfac9a2248e12c05'},219,Angola,Cassava,1991,40295,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c06'},220,Angola,Maize,1991,4013,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c07'},221,Angola,Potatoes,1991,40000,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c08'},222,Angola,"Rice, paddy",1991,10000,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c09'},223,Angola,Sweet potatoes,1991,83001,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c0a'},224,Angola,Wheat,1991,8000,1010,79.0,24.02
{'$oid': '65ec3b91dfac9a2248e12c0b'},225,Angola,Cassava,1992,42295,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c0c'},226,Angola,Maize,1992,3778,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c0d'},227,Angola,Potatoes,1992,40000,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c0e'},228,Angola,"Rice, paddy",1992,9106,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c0f'},229,Angola,Sweet potatoes,1992,90000,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c10'},230,Angola,Wheat,1992,8000,1010,23.0,23.96
{'$oid': '65ec3b91dfac9a2248e12c11'},231,Angola,Cassava,1993,42295,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c12'},232,Angola,Maize,1993,2627,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c13'},233,Angola,Potatoes,1993,70000,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c14'},234,Angola,"Rice, paddy",1993,8000,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c15'},235,Angola,Sweet potatoes,1993,88095,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c16'},236,Angola,Wheat,1993,8876,1010,169.0,24.15
{'$oid': '65ec3b91dfac9a2248e12c17'},237,Angola,Cassava,1994,58596,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c18'},238,Angola,Maize,1994,2463,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c19'},239,Angola,Potatoes,1994,90000,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c1a'},240,Angola,"Rice, paddy",1994,8750,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c1b'},241,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c1c'},242,Angola,Wheat,1994,10000,1010,25.5,24.04
{'$oid': '65ec3b91dfac9a2248e12c1d'},243,Angola,Cassava,1995,51000,1010,336.0,24.56
{'$oid': '65ec3b91dfac9a2248e12c1e'},244,Angola,Maize,1995,3517,1010,336.0,24.56
{'$oid': '65ec3b91dfac9a2248e12c1f'},245,Angola,Potatoes,1995,76738,1010,336.0,24.56
{'$oid': '65ec3b91dfac9a2248e12c20'},246,Angola,"Rice, paddy",1995,14615,1010,336.0,24.56
{'$oid': '65ec3b91dfac9a2248e12c21'},247,Angola,Sweet potatoes,1995,81138,1010,336.0,24.56
{'$oid': '65ec3b91dfac9a2248e12c22'},248,Angola,Wheat,1995,11855,1010,336.0,24.56
